,event_id,student_id,timestamp,event_type,skill_id,question_id,difficulty,correct,response_time_ms,attempt_number,meta,session_id
409,E_01beec8a19e8481c9dddc72900793eee,U_b5d35848,1768100636.5265,start,__session__,__session__,0,,,,,S_82185ed0
410,E_81294d6c07b74547899f155f94febfc2,U_b5d35848,1768100756.6152616,solve,S04_LIN_EXPR,Q_LIN_EXPR_DISTR_E1_37c78717,1,1,23441,1,"{""generated_params"":{""a"":4,""b"":-6,""x"":6},""template_id"":""LIN_EXPR_DISTR_E1""}",S_82185ed0
411,E_b446ac11406042508d8904a9be812ab6,U_b5d35848,1768100765.1097121,solve,S04_LIN_EXPR,Q_LIN_EXPR_DISTR_E1_a54be021,1,1,8443,1,"{""generated_params"":{""a"":-2,""b"":4,""x"":4},""template_id"":""LIN_EXPR_DISTR_E1""}",S_82185ed0
412,E_2de04797e6854afc8d6d67003d89e62b,U_b5d35848,1768100776.8182228,solve,S04_LIN_EXPR,Q_LIN_EXPR_COMB_M2_98d00b75,2,1,11570,1,"{""generated_params"":{""a"":6,""b"":7,""c"":10,""x"":-1},""template_id"":""LIN_EXPR_COMB_M2""}",S_82185ed0
413,E_9ab25531f6694df9ab2d558bcb912e2f,U_b5d35848,1768100781.752572,solve,S01_ARITH,Q_ARITH_OOO_E1_ebfbb11b,1,1,4835,1,"{""generated_params"":{""a"":4,""b"":9,""c"":2},""template_id"":""ARITH_OOO_E1""}",S_82185ed0
414,E_b1d1590d85ff47f59fc43942b04522f4,U_b5d35848,1768100818.5452175,solve,S01_ARITH,Q_ARITH_OOO_E1_1ba5953d,1,1,36726,1,"{""generated_params"":{""a"":2,""b"":-7,""c"":6},""template_id"":""ARITH_OOO_E1""}",S_82185ed0
415,E_1be328faf6be4502a4438bb15d0da736,U_b5d35848,1768100823.1709008,solve,S01_ARITH,Q_ARITH_PAREN_M2_9c6e5440,2,0,4469,1,"{""generated_params"":{""a"":-6,""b"":7,""c"":8},""template_id"":""ARITH_PAREN_M2""}",S_82185ed0
416,E_4f195721be2b406e92476aed998497de,U_b5d35848,1768100828.523253,solve,S02_FRAC,Q_FRAC_ADD_E1_e4965495,1,1,5300,1,"{""generated_params"":{""a"":3,""b"":3,""c"":8,""d"":8},""template_id"":""FRAC_ADD_E1""}",S_82185ed0
417,E_3cfb30d693854e6fb93f8a87b1fb5494,U_b5d35848,1768100843.6885178,solve,S02_FRAC,Q_FRAC_ADD_E1_2f59076e,1,1,15110,1,"{""generated_params"":{""a"":2,""b"":4,""c"":8,""d"":5},""template_id"":""FRAC_ADD_E1""}",S_82185ed0
418,E_5bc818297e4e4b768ff1f27a2ed215e6,U_b5d35848,1768100856.6359584,solve,S02_FRAC,Q_RATIO_FIND_X_M2_8587f6ba,2,0,12906,1,"{""generated_params"":{""a"":4,""b"":7,""c"":2},""template_id"":""RATIO_FIND_X_M2""}",S_82185ed0
419,E_cc43d789f8a34e11aa2d6348d2bb0043,U_b5d35848,1768100864.0506363,solve,S03_EXP,Q_EXP_POW_E1_6d595f9f,1,1,7383,1,"{""generated_params"":{""a"":4,""n"":4},""template_id"":""EXP_POW_E1""}",S_82185ed0
420,E_1406af2cf8eb41b5a5ffbefbefa6d66a,U_b5d35848,1768100895.4204156,solve,S10_QUAD_EXPR,Q_QUAD_FACT_E1_36e3dfb0,1,0,14584,1,"{""generated_params"":{""b"":-10,""c"":-13},""template_id"":""QUAD_FACT_E1""}",S_82185ed0
421,E_6175ee30273942faa796061eacb4647c,U_b5d35848,1768100899.9461727,solve,S10_QUAD_EXPR,Q_QUAD_FACT_E1_ea8dd85e,1,1,4484,1,"{""generated_params"":{""b"":-3,""c"":14},""template_id"":""QUAD_FACT_E1""}",S_82185ed0
422,E_a96580a96a7d4f34ad0ed6c446543cb6,U_b5d35848,1768100916.109633,solve,S10_QUAD_EXPR,Q_QUAD_FACT_E1_20be71d9,1,1,16115,1,"{""generated_params"":{""b"":8,""c"":7},""template_id"":""QUAD_FACT_E1""}",S_82185ed0
423,E_cd3f3a64e20a45e6be8ede5b0ece49be,U_b5d35848,1768100924.7658427,solve,S10_QUAD_EXPR,Q_QUAD_FACT_E1_57b4e06c,1,1,8610,1,"{""generated_params"":{""b"":5,""c"":16},""template_id"":""QUAD_FACT_E1""}",S_82185ed0
424,E_0ff0bcfe3e314ab3b14ecffcab6921d7,U_b5d35848,1768100931.1028554,end,__session__,__session__,0,,,,,S_82185ed0
425,E_43437d249975421ca76c2cd19365e81e,U_b5d35848,1768101260.35605,start,__session__,__session__,0,,,,,S_091b8d47
426,E_2c0999267d5f4ccbb1f31e019a148eb8,U_b5d35848,1768102380.2388325,start,__session__,__session__,0,,,,,S_d11c448a
427,E_8a8fcaa4aca2467d9995c6c29657ee6c,U_b5d35848,1768102391.6477387,solve,S10_QUAD_EXPR,Q_QUAD_FACT_E1_d40c6b8e,1,1,4875,1,"{""generated_params"":{""b"":3,""c"":-2},""template_id"":""QUAD_FACT_E1""}",S_d11c448a
428,E_b022636d30524b2fa052d442ece2077a,U_b5d35848,1768102395.2021382,end,__session__,__session__,0,,,,,S_d11c448a
429,E_e1beb050afa64fa1bdabe895f68a0c53,U_b5d35848,1768142824.6218626,start,__session__,__session__,0,,,,,S_9a1d639a
430,E_c297b46519ef41b88e06f5ba45170763,U_b5d35848,1768142882.7362041,solve,S10_QUAD_EXPR,Q_QUAD_FACT_E1_d840193b,1,1,10256,1,"{""generated_params"":{""b"":1,""c"":-15},""template_id"":""QUAD_FACT_E1""}",S_9a1d639a
431,E_af1d04b101094fd4a7beba5c0f7bbecb,U_b5d35848,1768142891.870556,solve,S10_QUAD_EXPR,Q_QUAD_FACT_E1_bbd796d2,1,1,9092,1,"{""generated_params"":{""b"":-1,""c"":-11},""template_id"":""QUAD_FACT_E1""}",S_9a1d639a
432,E_c72e6f8e812b483fa5f14299253a4c7d,U_b5d35848,1768142900.9012334,solve,S10_QUAD_EXPR,Q_QUAD_EXPAND_M2_5f49f61d,2,1,8988,1,"{""generated_params"":{""p"":8,""q"":6,""x"":-1},""template_id"":""QUAD_EXPAND_M2""}",S_9a1d639a
